Date,Close/Last
07/15/2025,$364.18
07/16/2025,$361.77
07/17/2025,$366.45
07/18/2025,$365.79
07/21/2025,$367.68
07/22/2025,$372.87
07/23/2025,$372.46
07/24/2025,$371.69
07/25/2025,$370.74
07/28/2025,$369.47
07/29/2025,$370.70
07/30/2025,$364.00
07/31/2025,$357.69
08/01/2025,$347.80
08/04/2025,$338.85
08/05/2025,$338.74
08/06/2025,$345.62
08/07/2025,$338.27
08/08/2025,$341.05
08/11/2025,$333.65
08/12/2025,$338.43
08/13/2025,$351.07
08/14/2025,$348.58
08/15/2025,$354.85
08/18/2025,$357.24
08/19/2025,$361.03
08/20/2025,$353.43
08/21/2025,$353.43
08/22/2025,$362.09
08/25/2025,$363.21
08/26/2025,$354.91
08/27/2025,$356.35
08/28/2025,$353.96
08/29/2025,$356.70
09/02/2025,$345.63
09/03/2025,$348.50
09/04/2025,$344.31
09/05/2025,$348.97
09/08/2025,$358.66
09/09/2025,$354.06
09/10/2025,$350.16
09/11/2025,$350.55
09/12/2025,$349.36
09/15/2025,$347.10
09/16/2025,$352.73
09/17/2025,$362.07
09/18/2025,$367.46
09/19/2025,$365.90
09/22/2025,$364.08
09/23/2025,$361.78
09/24/2025,$353.27
09/25/2025,$354.16
09/26/2025,$360.37
09/29/2025,$359.42
09/30/2025,$352.75
10/01/2025,$343.72
10/02/2025,$351.48
10/03/2025,$346.74
10/06/2025,$350.14
10/07/2025,$348.31
10/08/2025,$348.77
10/09/2025,$347.47
10/10/2025,$337.51
10/13/2025,$339.32
10/14/2025,$335.94
10/15/2025,$330.63
10/16/2025,$329.23
10/17/2025,$333.26
10/20/2025,$343.40
10/21/2025,$357.55
10/22/2025,$354.09
10/23/2025,$354.12
10/24/2025,$353.52
10/27/2025,$357.80
10/28/2025,$359.91
10/29/2025,$337.86
10/30/2025,$339.24
10/31/2025,$340.31
11/03/2025,$337.47
11/04/2025,$335.35
11/05/2025,$335.53
11/06/2025,$327.35
11/07/2025,$326.95
11/10/2025,$328.85
11/11/2025,$333.22
11/12/2025,$337.05
11/13/2025,$333.60
11/14/2025,$331.11
11/17/2025,$325.07
11/18/2025,$324.47
11/19/2025,$318.11
11/20/2025,$312.40
11/21/2025,$324.19
11/24/2025,$318.73
11/25/2025,$319.55
11/26/2025,$317.52
11/28/2025,$320.13
12/01/2025,$322.85
12/02/2025,$322.81
12/03/2025,$326.78
