Date,Close/Last
07/15/2025,$209.11
07/16/2025,$210.16
07/17/2025,$210.02
07/18/2025,$211.18
07/21/2025,$212.48
07/22/2025,$214.40
07/23/2025,$214.15
07/24/2025,$213.76
07/25/2025,$213.88
07/28/2025,$214.05
07/29/2025,$211.27
07/30/2025,$209.05
07/31/2025,$207.57
08/01/2025,$202.38
08/04/2025,$203.35
08/05/2025,$202.92
08/06/2025,$213.25
08/07/2025,$220.03
08/08/2025,$229.35
08/11/2025,$227.18
08/12/2025,$229.65
08/13/2025,$233.33
08/14/2025,$232.78
08/15/2025,$231.59
08/18/2025,$230.89
08/19/2025,$230.56
08/20/2025,$226.01
08/21/2025,$224.90
08/22/2025,$227.76
08/25/2025,$227.16
08/26/2025,$229.31
08/27/2025,$230.49
08/28/2025,$232.56
08/29/2025,$232.14
09/02/2025,$229.72
09/03/2025,$238.47
09/04/2025,$239.78
09/05/2025,$239.69
09/08/2025,$237.88
09/09/2025,$234.35
09/10/2025,$226.79
09/11/2025,$230.03
09/12/2025,$234.07
09/15/2025,$236.70
09/16/2025,$238.15
09/17/2025,$238.99
09/18/2025,$237.88
09/19/2025,$245.50
09/22/2025,$256.08
09/23/2025,$254.43
09/24/2025,$252.31
09/25/2025,$256.87
09/26/2025,$255.46
09/29/2025,$254.43
09/30/2025,$254.63
10/01/2025,$255.45
10/02/2025,$257.13
10/03/2025,$258.02
10/06/2025,$256.69
10/07/2025,$256.48
10/08/2025,$258.06
10/09/2025,$254.04
10/10/2025,$245.27
10/13/2025,$247.66
10/14/2025,$247.77
10/15/2025,$249.34
10/16/2025,$247.45
10/17/2025,$252.29
10/20/2025,$262.24
10/21/2025,$262.77
10/22/2025,$258.45
10/23/2025,$259.58
10/24/2025,$262.82
10/27/2025,$268.81
10/28/2025,$269.00
10/29/2025,$269.70
10/30/2025,$271.40
10/31/2025,$270.37
11/03/2025,$269.05
11/04/2025,$270.04
11/05/2025,$270.14
11/06/2025,$269.77
11/07/2025,$268.47
11/10/2025,$269.43
11/11/2025,$275.25
11/12/2025,$273.47
11/13/2025,$272.95
11/14/2025,$272.41
11/17/2025,$267.46
11/18/2025,$267.44
11/19/2025,$268.56
11/20/2025,$266.25
11/21/2025,$271.49
11/24/2025,$275.92
11/25/2025,$276.97
11/26/2025,$277.55
11/28/2025,$278.85
12/01/2025,$283.10
12/02/2025,$286.19
12/03/2025,$284.15
