Date,Close/Last
07/15/2025,$710.39
07/16/2025,$702.91
07/17/2025,$701.41
07/18/2025,$704.28
07/21/2025,$712.97
07/22/2025,$704.81
07/23/2025,$713.58
07/24/2025,$714.80
07/25/2025,$712.68
07/28/2025,$717.63
07/29/2025,$700.00
07/30/2025,$695.21
07/31/2025,$773.44
08/01/2025,$750.01
08/04/2025,$776.37
08/05/2025,$763.46
08/06/2025,$771.99
08/07/2025,$761.83
08/08/2025,$769.30
08/11/2025,$765.87
08/12/2025,$790.00
08/13/2025,$780.08
08/14/2025,$782.13
08/15/2025,$785.23
08/18/2025,$767.37
08/19/2025,$751.48
08/20/2025,$747.72
08/21/2025,$739.10
08/22/2025,$754.79
08/25/2025,$753.30
08/26/2025,$754.10
08/27/2025,$747.38
08/28/2025,$751.11
08/29/2025,$738.70
09/02/2025,$735.11
09/03/2025,$737.05
09/04/2025,$748.65
09/05/2025,$752.45
09/08/2025,$752.30
09/09/2025,$765.70
09/10/2025,$751.98
09/11/2025,$750.90
09/12/2025,$755.59
09/15/2025,$764.70
09/16/2025,$779.00
09/17/2025,$775.72
09/18/2025,$780.25
09/19/2025,$778.38
09/22/2025,$765.16
09/23/2025,$755.40
09/24/2025,$760.66
09/25/2025,$748.91
09/26/2025,$743.75
09/29/2025,$743.40
09/30/2025,$734.38
10/01/2025,$717.34
10/02/2025,$727.05
10/03/2025,$710.56
10/06/2025,$715.66
10/07/2025,$713.08
10/08/2025,$717.84
10/09/2025,$733.51
10/10/2025,$705.30
10/13/2025,$715.70
10/14/2025,$708.65
10/15/2025,$717.55
10/16/2025,$712.07
10/17/2025,$716.91
10/20/2025,$732.17
10/21/2025,$733.27
10/22/2025,$733.41
10/23/2025,$734.00
10/24/2025,$738.36
10/27/2025,$750.82
10/28/2025,$751.44
10/29/2025,$751.67
10/30/2025,$666.47
10/31/2025,$648.35
11/03/2025,$637.71
11/04/2025,$627.32
11/05/2025,$635.95
11/06/2025,$618.94
11/07/2025,$621.71
11/10/2025,$631.76
11/11/2025,$627.08
11/12/2025,$609.01
11/13/2025,$609.89
11/14/2025,$609.46
11/17/2025,$602.01
11/18/2025,$597.69
11/19/2025,$590.32
11/20/2025,$589.15
11/21/2025,$594.25
11/24/2025,$613.05
11/25/2025,$636.22
11/26/2025,$633.61
11/28/2025,$647.95
12/01/2025,$640.87
12/02/2025,$647.10
12/03/2025,$639.60
