Date,Close/Last
07/15/2025,$257.58
07/16/2025,$257.95
07/17/2025,$259.88
07/18/2025,$262.38
07/21/2025,$262.28
07/22/2025,$263.59
07/23/2025,$267.22
07/24/2025,$267.70
07/25/2025,$269.11
07/28/2025,$270.25
07/29/2025,$267.39
07/30/2025,$264.81
07/31/2025,$258.33
08/01/2025,$250.74
08/04/2025,$252.32
08/05/2025,$247.49
08/06/2025,$249.17
08/07/2025,$240.88
08/08/2025,$240.51
08/11/2025,$232.68
08/12/2025,$231.66
08/13/2025,$237.03
08/14/2025,$233.37
08/15/2025,$242.44
08/18/2025,$243.97
08/19/2025,$246.00
08/20/2025,$246.45
08/21/2025,$245.83
08/22/2025,$248.29
08/25/2025,$247.87
08/26/2025,$243.74
08/27/2025,$250.16
08/28/2025,$254.53
08/29/2025,$256.25
09/02/2025,$252.86
09/03/2025,$256.45
09/04/2025,$244.01
09/05/2025,$250.76
09/08/2025,$252.27
09/09/2025,$252.06
09/10/2025,$242.57
09/11/2025,$246.28
09/12/2025,$242.76
09/15/2025,$242.52
09/16/2025,$239.31
09/17/2025,$242.21
09/18/2025,$244.28
09/19/2025,$247.09
09/22/2025,$249.69
09/23/2025,$244.56
09/24/2025,$245.89
09/25/2025,$240.95
09/26/2025,$243.43
09/29/2025,$245.10
09/30/2025,$237.00
10/01/2025,$235.69
10/02/2025,$238.88
10/03/2025,$240.36
10/06/2025,$245.78
10/07/2025,$239.74
10/08/2025,$240.43
10/09/2025,$245.33
10/10/2025,$241.68
10/13/2025,$248.75
10/14/2025,$239.77
10/15/2025,$236.58
10/16/2025,$246.00
10/17/2025,$243.08
10/20/2025,$254.28
10/21/2025,$263.41
10/22/2025,$256.64
10/23/2025,$255.05
10/24/2025,$254.83
10/27/2025,$255.47
10/28/2025,$254.26
10/29/2025,$251.46
10/30/2025,$256.65
10/31/2025,$260.41
11/03/2025,$261.34
11/04/2025,$254.44
11/05/2025,$252.68
11/06/2025,$239.27
11/07/2025,$239.88
11/10/2025,$241.71
11/11/2025,$244.50
11/12/2025,$246.02
11/13/2025,$240.43
11/14/2025,$243.66
11/17/2025,$237.03
11/18/2025,$233.50
11/19/2025,$227.88
11/20/2025,$225.37
11/21/2025,$227.11
11/24/2025,$226.82
11/25/2025,$234.12
11/26/2025,$228.15
11/28/2025,$230.54
12/01/2025,$232.83
12/02/2025,$234.71
12/03/2025,$238.72
